DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2020,243,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2021,212,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2010,1278,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2011,1278,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2012,1277,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2013,1281,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2014,1287,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2015,1289,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2016,1289,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2017,1289,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2018,1288,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2019,1287,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2020,1297,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ02,2021,1459,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2010,1691,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2011,1692,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2012,1692,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2013,1685,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2014,1684,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2015,1682,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2016,1680,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2017,1680,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2018,1682,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2019,1681,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2020,1671,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ03,2021,1675,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2010,1513,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2011,1515,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2012,1515,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2013,1513,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2014,1513,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2015,1514,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2016,1518,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2017,1517,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2018,1518,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2019,1517,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2020,1516,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ04,2021,1523,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2010,1810,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2011,1809,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2012,1807,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2013,1807,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2014,1804,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2015,1803,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2016,1804,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2017,1807,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2018,1807,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2019,1805,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2020,1804,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ05,2021,1702,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2010,1406,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2011,1406,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2012,1406,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2013,1406,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2014,1406,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2015,1408,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2016,1408,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2017,1410,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2018,1410,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2019,1407,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2020,1391,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ06,2021,1331,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2010,960,
